DWD classification (ftp structure),,,,,temporal,attribute group,attribute,attribute-comment,aggregation,spatial-aggregation,spatial,unit,temporal-start,temporal-end,prediction,format,compressed,machine-readable,url,url-comment,recent & historical,now,comment
climate_environment,cdc,observations_germany,climate,,daily,solar,solar,,,,Station,J/cm^2,1937,2020,,csv,TRUE,TRUE,https://opendata.dwd.de/climate_environment/CDC/observations_germany/climate/daily/solar/tageswerte_ST_00183_row.zip,Station ID,,,"temporal extent depends on station, station table: https://opendata.dwd.de/climate_environment/CDC/observations_germany/climate/daily/solar/ST_Tageswerte_Beschreibung_Stationen.txt"
climate_environment,cdc,observations_germany,climate,,daily,snow,snow,,,,Station,"cm,mm",1927,2020,,csv,TRUE,TRUE,https://opendata.dwd.de/climate_environment/CDC/observations_germany/climate/daily/water_equiv/historical/tageswerte_Wa_00001_19370130_19580125_hist.zip,Station ID,TRUE,,"temporal extent depends on station, station table: https://opendata.dwd.de/climate_environment/CDC/observations_germany/climate/daily/water_equiv/historical/Wa_Tageswerte_Beschreibung_Stationen.txt"
climate_environment,cdc,observations_germany,climate,,daily,weather phenomena,weather phenomena,,,,Station,weather phenomena,1891,2020,,csv,TRUE,TRUE,https://opendata.dwd.de/climate_environment/CDC/observations_germany/climate/daily/weather_phenomena/historical/wetter_tageswerte_00001_19370101_19860630_hist.zip,Station ID,TRUE,,"temporal extent depends on station, station table: https://opendata.dwd.de/climate_environment/CDC/observations_germany/climate/daily/weather_phenomena/historical/wetter_tageswerte_Beschreibung_Stationen.txt"
climate_environment,cdc,observations_germany,climate,,monthly,weather phenomena,weather phenomena,,,,Station,weather phenomena,1891,2020,,csv,TRUE,TRUE,https://opendata.dwd.de/climate_environment/CDC/observations_germany/climate/monthly/weather_phenomena/historical/wetter_monatswerte_00001_19370101_19860630_hist.zip,Station ID,TRUE,,"temporal extent depends on station, station table: https://opendata.dwd.de/climate_environment/CDC/observations_germany/climate/monthly/weather_phenomena/recent/wetter_monatswerte_Beschreibung_Stationen.txt"
climate_environment,cdc,observations_germany,climate,,monthly,collection,kl (collection),,,,Station,collection,1781,2020,,csv,TRUE,TRUE,https://opendata.dwd.de/climate_environment/CDC/observations_germany/climate/monthly/kl/historical/monatswerte_KL_00001_19310101_19860630_hist.zip,Station ID,TRUE,,"temporal extent depends on station, station table: https://opendata.dwd.de/climate_environment/CDC/observations_germany/climate/monthly/kl/historical/KL_Monatswerte_Beschreibung_Stationen.txt"
climate_environment,cdc,observations_germany,climate,,monthly,precipitation,precipitation type,,,,Station,precipitation type,1781,2020,,csv,TRUE,TRUE,https://opendata.dwd.de/climate_environment/CDC/observations_germany/climate/monthly/more_precip/historical/monatswerte_RR_00001_18910101_19860630_hist.zip,Station ID,TRUE,,"temporal extent depends on station, station table: https://opendata.dwd.de/climate_environment/CDC/observations_germany/climate/monthly/more_precip/historical/RR_Monatswerte_Beschreibung_Stationen.txt"
climate_environment,cdc,observations_germany,climate,,annual,collection,kl (collection),,,,Station,collection,1851,2020,,csv,TRUE,TRUE,https://opendata.dwd.de/climate_environment/CDC/observations_germany/climate/annual/kl/historical/jahreswerte_KL_00001_19310101_19851231_hist.zip,Station ID,TRUE,,"temporal extent depends on station, station table: https://opendata.dwd.de/climate_environment/CDC/observations_germany/climate/annual/kl/historical/KL_Jahreswerte_Beschreibung_Stationen.txt"
climate_environment,cdc,observations_germany,climate,,annual,precipitation,precipitation type,,,,Station,precipitation type,1891,2020,,csv,TRUE,TRUE,https://opendata.dwd.de/climate_environment/CDC/observations_germany/climate/annual/more_precip/historical/jahreswerte_RR_00001_18910101_19851231_hist.zip,Station ID,TRUE,,"temporal extent depends on station, station table: https://opendata.dwd.de/climate_environment/CDC/observations_germany/climate/annual/more_precip/historical/RR_Jahreswerte_Beschreibung_Stationen.txt"
climate_environment,cdc,observations_germany,climate,,annual,weather phenomena,weather phenomena,,,,Station,weather phenomena,1891,2020,,csv,TRUE,TRUE,https://opendata.dwd.de/climate_environment/CDC/observations_germany/climate/annual/weather_phenomena/historical/wetter_jahreswerte_00001_19370101_19860630_hist.zip,Station ID,TRUE,,"temporal extent depends on station, station table: https://opendata.dwd.de/climate_environment/CDC/observations_germany/climate/annual/weather_phenomena/historical/wetter_jahreswerte_Beschreibung_Stationen.txt"
climate_environment,cdc,observations_germany,climate,,multi-annual,days - ice,ice days,,count,,Station,days,1961,1990,,csv,,TRUE,https://opendata.dwd.de/climate_environment/CDC/observations_germany/climate/multi_annual/mean_61-90/Eistage_1961-1990_festerStandort.txt,,,,"temporal extent depends on station, station table: https://opendata.dwd.de/climate_environment/CDC/observations_germany/climate/multi_annual/mean_61-90/Eistage_1961-1990_Stationsliste_festerStandort.txt"
climate_environment,cdc,observations_germany,climate,,multi-annual,days - frost,frost days,,count,,Station,days,1961,1990,,csv,,TRUE,https://opendata.dwd.de/climate_environment/CDC/observations_germany/climate/multi_annual/mean_61-90/Frosttage_1961-1990_festerStandort.txt,,,,"temporal extent depends on station, station table: https://opendata.dwd.de/climate_environment/CDC/observations_germany/climate/multi_annual/mean_61-90/Frosttage_1961-1990_Stationsliste_festerStandort.txt"
